Timestamp,415nm_filtered,415nm_peak,445nm_filtered,445nm_peak,480nm_filtered,480nm_peak,515nm_filtered,515nm_peak,555nm_filtered,555nm_peak,590nm_filtered,590nm_peak,630nm_filtered,630nm_peak,680nm_filtered,680nm_peak,NIR_filtered,NIR_peak,Fused_filtered,Fused_peak
2025-03-04 11:53:18.306,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-03-04 11:53:18.436,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-03-04 11:53:18.487,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-03-04 11:53:18.538,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-03-04 11:53:18.588,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-03-04 11:53:18.640,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-03-04 11:53:18.689,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-03-04 11:53:18.739,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-03-04 11:53:18.788,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-03-04 11:53:18.838,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-03-04 11:53:18.887,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2025-03-04 11:53:18.941,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
